CROPS,TYPE_OF_CROP,SOIL,SOIL_PH_LOW,SOIL_PH_HIGH,CROPDURATION_MIN,CROPDURATION_MAX,MIN_TEMP,MAX_TEMP,TYPE_OF _WATERSOURCE,WATER REQUIRED_MIN,WATERREQUIRED_MAX,RELATIVE_HUMIDITY_MIN,RELATIVE_HUMIDITY_MAX,DISTRICT WISE CROP AVAILABILITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fodder maize,forage crops,Well drained sandy loam and clayey loam soils ,5.50,8.00,60.00,70.00,8.00,45.00,irrigated,500,480,65,80,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
cumbu napier hybrid,forage crops,Well drained sandy loam and clayey loam soils ,5.00,8.60,45.00,55.00,20.00,25.00,irrigated,800,1000,65,80,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
guinea grass,forage crops,Well drained sandy loam and clayey loam soils ,5.00,7.00,45.00,55.00,15.00,38.00,both,1000,480,65,80,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
kollukattai pullu,forage crops,Well drained sandy loam and clayey loam soils ,7.00,7.50,45.00,55.00,20.00,30.00,rainfed,500,480,65,80,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
kudirai masi,forage crops,Well drained sandy loam and clayey loam soils ,6.50,7.50,45.00,55.00,25.00,35.00,irrigated,300,350,65,80,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
velimasal,forage crops,Well drained sandy loam and clayey loam soils ,5.80,7.00,45.00,55.00,25.00,35.00,both,300,350,65,80,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
fodder cowpea,forage crops,Well drained sandy loam and clayey loam soils ,5.00,6.50,50.00,65.00,20.00,30.00,irrigated,300,350,65,80,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
muyal masal,forage crops,Well drained sandy loam and clayey loam soils ,5.50,7.50,75.00,65.00,25.00,35.00,rainfed,500,480,65,80,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
soundal,forage crops,Well drained sandy loam and clayey loam soils ,5.50,7.50,40.00,80.00,20.00,35.00,rainfed,500,480,65,80,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
tobacco,other crops,Well drained sandy loam and clayey loam soils ,7.50,8.50,90.00,100.00,26.00,32.00,both,800,1000,70,80,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
tomato,vegetables,Sandy loam,6.50,7.50,90.00,140.00,18.00,30.00,both,600,800,75,85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
onion,vegetables, Any Loamy,5.80,6.50,100.00,120.00,20.00,25.00,both,350,550,75,85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
chillies,vegetables,Loamy soil/ Lateritic soil,6.00,6.80,120.00,120.00,23.00,30.00,both,500,500,75,85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cabbage,colecrops,LoamySandy,6.00,6.50,80.00,180.00,7.00,27.00,irrigated,380,500,90,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
bhendi,vegetables,Loamy soil/ Lateritic soil,6.00,6.80,55.00,65.00,24.00,27.00,both,1200,2200,95,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
brinjal,vegetables,Loamy soil/ Lateritic soil,6.00,7.50,100.00,150.00,18.00,30.00,both,900,1200,90,90,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
capsicum,vegetables,Loamy soil/ Lateritic soil,5.50,7.00,60.00,60.00,15.00,30.00,irrigated,500,1200,90,95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
paprika,vegetables,Sandy loam,5.80,6.50,160.00,180.00,24.00,32.00,both,700,1000,75,85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
pumpkin,vegetables,Loamy soil/ Lateritic soil,6.00,7.00,115.00,120.00,18.00,27.00,both,900,1200,60,70,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
snake gourd,vegetables,Loamy soil/ Lateritic soil,6.00,6.70,90.00,90.00,18.00,27.00,both,900,1200,85,90,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ribbed gourd,vegetables,Sandy Loam,6.50,7.50,125.00,125.00,25.00,35.00,both,900,1200,75,85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
bottle gourd,vegetables,Sandy loam,6.00,6.70,120.00,120.00,18.00,27.00,both,900,1200,75,85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
bitter gourd,vegetables,Well drained loamy soil,6.50,7.00,55.00,60.00,25.00,30.00,both,900,1200,78,92,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ash gourd,vegetables,Sandy loam,6.00,6.70,120.00,120.00,24.00,31.00,both,900,1200,50,75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
cucumber,vegetables,Loamy,6.50,7.50,120.00,120.00,25.00,35.00,irrigated,1200,1500,60,70,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
gherkins,vegetables,Sandy loam,5.80,7.00,90.00,90.00,15.00,35.00,irrigated,900,1200,75,85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
watermelon,vegetables,Sandy,6.00,7.50,70.00,85.00,24.00,27.00,irrigated,900,1200,75,85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
muskmelon,vegetables,Sandy Loam,6.50,7.50,70.00,100.00,25.00,35.00,irrigated,900,1200,75,85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
tinda,vegetables,Sandy loam,6.50,7.50,70.00,70.00,25.00,30.00,irrigated,900,1200,75,85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
chowchow,vegetables,Loamy soil/ Lateritic soil,5.50,6.50,150.00,150.00,18.00,22.00,both,1200,1500,75,85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
cluster bean,vegetables,Sandy Loam,7.00,8.50,60.00,90.00,21.00,25.00,both,900,1200,75,85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
vegetable cowpea,vegetables,Sandy loam,5.60,6.00,45.00,90.00,20.00,30.00,both,900,1200,75,85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
lablab,vegetables,Well drained loamy soil,6.50,8.50,70.00,75.00,22.00,35.00,both,900,1200,75,85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
french bean,vegetables,Well drained loamy soil,5.50,6.00,40.00,50.00,10.00,27.00,both,900,1200,75,85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
broadbean,vegetables,Well drained loamy soil,5.50,6.00,80.00,100.00,10.00,21.00,both,900,1200,75,85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
peas,vegetables,Sandy loam,6.50,7.50,60.00,70.00,10.00,30.00,rainfed,900,1200,70,90,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
annual moringa,vegetables,Sandy loam,6.50,8.00,210.00,240.00,25.00,35.00,both,900,1200,75,85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
carrot,Root&tuber,light or sandy loam soil,6.00,7.00,75.00,75.00,15.00,20.00,irrigated,1000,1000,60,70,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
beetroot,Root&tuber,all types of friable soil,6.00,7.00,45.00,65.00,18.00,21.00,irrigated,1000,1000,98,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
radish,Root&tuber,Well grained deep loamy moist and alluviual soil,5.50,6.80,21.00,21.00,10.00,18.00,irrigated,1000,1000,95,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
colocasia,Root&tuber,Well grained deep loamy moist and alluviual soil,5.50,7.00,150.00,180.00,20.00,35.00,both,1000,1000,80,85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
dioscorea,Root&tuber,well-drained soil,6.00,6.50,270.00,300.00,32.00,34.00,both,1000,2000,90,95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
sweet potato,Root&tuber,well-drained soil,5.70,6.70,90.00,120.00,21.00,26.00,both,1000,1000,85,90,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
chinese potato,Root&tuber,well-drained soil,4.80,5.80,120.00,150.00,15.00,20.00,both,1000,1000,85,95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
tapoica,Root&tuber,Red lateritic loam,5.50,7.00,270.00,300.00,25.00,29.00,both,1000,1000,50,60,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
elephant foot yam,Root&tuber,Rich red loamy soil,5.50,7.00,240.00,240.00,25.00,35.00,both,1000,1500,80,85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
amaranthus,greenleafy,Silt Loam to loamy,6.50,7.50,70.00,75.00,20.00,30.00,both,1000,1000,85,90,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
curry leaf,greenleafy,Red sandy loam,5.20,5.50,90.00,85.00,26.00,37.00,both,1000,1000,70,80,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
celery,greenleafy,Silt Loam to loamy,6.00,8.50,120.00,150.00,12.00,30.00,both,1000,1000,98,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
cauliflower,colecrops,LoamySandy,6.50,6.80,55.00,100.00,5.00,30.00,both,380,500,95,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
small onion,bulbvegetables,Sandy loam,6.00,7.00,70.00,90.00,16.00,25.00,both,650,750,65,75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
bellary onion,minor vegetables,Sandy loam,5.80,6.50,150.00,150.00,13.00,24.00,both,900,1200,65,75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Asparagus,minor vegetables,Sandy loam,6.00,6.70,730.00,730.00,15.00,30.00,both,900,1200,95,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Basella,minor vegetables,Sandy loam,5.50,8.00,70.00,70.00,15.00,32.00,both,900,1200,90,90,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bread fruit,minor vegetables,Sandy loam,6.10,7.40,100.00,100.00,16.00,38.00,both,2030,2540,70,80,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Brussels sprout,minor vegetables,Sandy loam,6.50,6.80,12.00,12.00,15.00,25.00,both,900,1200,95,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Butter bean,minor vegetables,Sandy loam,6.00,7.00,80.00,100.00,17.50,27.00,both,900,1200,85,85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Phaseolus lunatus,minor vegetables,Sandy loam,6.00,6.80,90.00,90.00,16.00,27.00,both,900,2000,85,85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Celery,minor vegetables,Sandy loam,5.80,6.80,120.00,150.00,15.00,20.00,both,900,1200,98,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ceylon spinach,minor vegetables,Sandy loam,6.50,7.00,40.00,50.00,10.00,22.00,both,900,1200,85,85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Chakravathi keerai,minor vegetables,Sandy loam,4.50,8.30,100.00,100.00,15.00,24.00,both,900,1200,85,85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Chekurmanis,minor vegetables,Sandy loam,5.50,7.50,90.00,120.00,26.00,35.00,both,900,1200,85,85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Chinese cabbage,minor vegetables,Sandy loam,5.50,7.00,50.00,80.00,15.00,22.00,irrigated,900,1200,98,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Coccinia,minor vegetables,Sandy loam,6.00,6.50,90.00,90.00,20.00,32.00,both,900,1200,85,85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
